ticker,stage,model,rmse,mape,da,time,predictions,actual,features_count,features
VTBR,1,TCN,6.878299740044655,5.261122219408779,22.22222222222222,30.739543986320495,"[83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288, 83.65853339251288]","[83.3, 85.39, 86.32, 85.4, 85.52, 87.24, 87.84, 87.93, 98.55, 97.3]",1,['close']
VTBR,6,LSTM,6.175820155011186,4.305282316290357,22.22222222222222,35.11133787631989,"[84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194, 84.72844729579194]","[83.3, 85.39, 86.32, 85.4, 85.52, 87.24, 87.84, 87.93, 98.55, 97.3]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
VTBR,6,TCN,8.825224818855173,8.02584175236653,22.22222222222222,31.890563654899598,"[81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752, 81.1434370288752]","[83.3, 85.39, 86.32, 85.4, 85.52, 87.24, 87.84, 87.93, 98.55, 97.3]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
X5,1,LSTM,62.176923941102636,2.0663451173120175,55.55555555555556,30.122253894805908,"[2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573, 2271.9079293952573]","[2234.0, 2209.0, 2308.5, 2296.0, 2318.0, 2272.0, 2260.0, 2295.5, 2402.5, 2379.0]",1,['close']
X5,1,TCN,64.45703196170952,2.1520979698649976,55.55555555555556,27.227364683151244,"[2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593, 2266.7720523940593]","[2234.0, 2209.0, 2308.5, 2296.0, 2318.0, 2272.0, 2260.0, 2295.5, 2402.5, 2379.0]",1,['close']
X5,6,LSTM,82.66145837525202,2.845353346667308,55.55555555555556,30.99296369552612,"[2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747, 2237.2890142972747]","[2234.0, 2209.0, 2308.5, 2296.0, 2318.0, 2272.0, 2260.0, 2295.5, 2402.5, 2379.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
X5,6,TCN,68.102820039577,2.272616794343987,55.55555555555556,28.158243680000304,"[2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567, 2259.7084897315567]","[2234.0, 2209.0, 2308.5, 2296.0, 2318.0, 2272.0, 2260.0, 2295.5, 2402.5, 2379.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
YDEX,1,LSTM,95.7406905009384,1.8863711338968254,44.44444444444444,47.82808108329773,"[4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723, 4203.751290141723]","[4229.5, 4252.5, 4200.0, 4313.5, 4362.5, 4285.0, 4293.0, 4371.5, 4283.0, 4155.0]",1,['close']
YDEX,1,TCN,103.00354876835283,2.0460046786346155,44.44444444444444,42.985509920120236,"[4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935, 4194.2013313185935]","[4229.5, 4252.5, 4200.0, 4313.5, 4362.5, 4285.0, 4293.0, 4371.5, 4283.0, 4155.0]",1,['close']
YDEX,6,LSTM,64.45402111017286,1.2212639191482138,44.44444444444444,50.54592125415802,"[4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872, 4275.255930074872]","[4229.5, 4252.5, 4200.0, 4313.5, 4362.5, 4285.0, 4293.0, 4371.5, 4283.0, 4155.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
YDEX,6,TCN,117.92677252415577,2.388140295232944,44.44444444444444,44.02756190299988,"[4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333, 4175.793222116333]","[4229.5, 4252.5, 4200.0, 4313.5, 4362.5, 4285.0, 4293.0, 4371.5, 4283.0, 4155.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
